010001,5.5,9.25,9.75,5.25
010002,6.75,6.75,8.25,2.25
010003,5.75,6.5,9,4.5
010004,6.25,6.75,8,2
010005,4.75,8.5,6.75,5.75
010006,3.25,3.25,6,1.75
010007,7,8,9.5,7
010008,7.25,5.75,9.25,1.5
010009,6,2.5,6.5,0.25
010010,6.25,6,6,2
010011,4.75,7.75,8.75,7.25
010012,5.75,6.25,6.5,3.5
010013,6.5,7.5,8.25,6
010014,6.75,8.75,9,6.25
010015,5.5,6.75,7.5,4.25
010016,2,6.5,5,6
010017,6.25,7,7.75,3.25
010018,6,7,7.5,7.75
010019,6.25,6.5,7.25,4
010020,5.5,6.25,5,1
010021,6.75,7,8.5,5.25
010022,6.75,8,7.5,2.5
010023,5.25,6.75,6.75,1.5
010024,5,6.75,5.75,3.75
010025,6.25,9.5,9.75,7.25
010026,6.5,8,5.5,5
010027,5.25,7,10,4.5
010028,5.75,7.25,9,6.5
010029,5,6.75,9.5,3.25
010030,5,6.5,5.5,2.25
010031,5.25,8.5,7.5,7
010032,5.5,8.25,6.75,3.25
010033,4.5,7.25,4.75,5
010034,6.5,8,8.75,9
010035,6.58,8.75,9,5.75
010036,7,7.58,7.5,5.25
010037,3.75,6,5.25,4
010038,5.5,8.25,7.75,6.75
010039,6,10,9.75,8
010040,7.5,7.5,8.75,5
010041,7,9.25,9.75,8
010042,5.5,8,9.25,5.75
010043,5.25,8.5,7,4.5
010044,6.75,9,7.5,7.75
010045,5.75,8.5,8.5,4.75
010046,7,8,9.25,4.5
010047,6,8.25,7,4.5
010048,4.75,6,6.25,1.75
010049,6,8.5,10,8.75
010050,6.5,8.25,9.25,6
010051,5,8.5,8.5,6.75
010052,5.5,8.25,8,6.5
010053,5.5,6.75,7.5,4.25
010054,5,7.25,5.5,2.75
010055,7,9.25,10,6.75
010056,5.75,8,8,3.25
010057,6.5,8.25,8.25,3.75
010058,6.75,6.25,7.25,3.25
010059,4.75,7.75,7,2
010060,5,4.75,4.25,2
010061,4.5,2.5,3.5,0
010062,4.25,6.75,8.5,3.75
010063,5.5,7.25,6.75,5.75
010064,8,7.75,9.75,4.5
010065,3.75,7.75,7.25,3.75
010066,6.25,7,8.75,4.25
010067,5.25,6.5,6.5,3
010068,6.75,6,7.5,1.75
010069,6.75,6.25,6.75,2
010070,4.5,7.75,4.75,5
010071,6.75,6.25,8.5,2.25
010072,6.25,7.25,6.25,5.75
010073,7,7.75,6.25,6
010074,5.75,7.75,9,3.75
010075,7,7.25,7.5,5.25
010076,5.75,6.25,7.25,0.5
010077,7.5,8.75,8.5,8.25
010078,6.75,9.25,9.75,7
010079,6,7.5,8.25,5.25
010080,6.75,6,6,1.75
010081,4.5,6.25,7,1.75
010082,7,8.75,8.25,5.5
010083,6.25,8.25,8,7.5
010084,4.75,4,2.5,0.25
010085,5.75,8.75,7.25,4.75
010086,8,8.25,9.25,4.25
010087,5.75,6.25,6.75,2
010088,6.25,8,9.25,4.5
010089,5.5,9,8.5,8.25
010090,4.75,8.25,5.5,3.25
010091,6.75,7.5,7,1.5
010092,5.25,6.5,7,2
010093,6.75,8.25,8.5,5.5
010094,5.75,6,6.25,2
010095,6,6.75,5.25,2.25
010096,7.5,7.5,9.25,3.5
010097,6,8,8.25,6
010098,5.25,7.25,8.75,6.25
010099,6.5,7.75,9.25,6.25
010100,6.75,7.75,8,2
010101,6,6.25,5,3
010102,5,4.5,5.5,0.75
010103,7.25,10,10,9
010104,4.5,8.25,7.25,5.25
010105,5.75,7,6.5,3
010106,4.75,8.5,9,2
010107,5.5,6,6.5,2
010108,6.75,7,8.75,7.75
010109,6,6.75,2.5,3.25
010110,5.5,8.25,6.25,5.25
010111,2.5,6.5,6.5,1
010112,6,9,9,4.75
010113,4,8.25,7,5.25
010114,5.5,7.75,9.5,6.5
010115,5.25,7,7.25,3
010116,5.75,7,7.75,3.75
010117,5.75,7.75,9.5,4.5
010118,5.5,7.5,9,3.25
010119,5.25,7.5,6.25,3.25
010120,4.25,5.5,4,0.5
010121,5.5,7,7.75,1.75
010122,5.75,6.5,7.25,3
010123,5.5,3.75,9.75,2.25
010124,5.5,7.5,8,4.5
010125,5.75,6.75,5.75,3.75
010126,5.75,6.25,9,3.5
010127,5.75,7,9.5,7.5
010128,5.75,8.25,8,3.25
010129,6,8,8.5,2.25
010130,7.25,8.75,9.5,7
010131,6.67,8.5,8.75,4.75
010132,6.5,6,6.5,1.75
010133,7,7.25,7,6.25
010134,6,8.25,8.75,2
010135,5.5,4.5,6.75,0.5
010136,6.5,7,7.5,5.5
010137,6.75,7.5,7.75,2.75
010138,6,7.25,9.25,1.5
010139,5.25,7,6.75,2.75
010140,6,8.25,9.25,6
010141,6,8.5,10,6
010142,6.25,7,7.5,4
010143,4.5,5.75,5.75,2.25
010144,5.25,6.75,8.75,7.25
010145,7,6,9.25,4.25
010146,5.5,6,7.25,6.25
010147,5,4,8.25,5.25
010148,4.75,7.75,9.5,5.75
010149,7.25,6.75,7,5.75
010150,6.75,4.25,3.75,1.5
010152,5.25,6,8.25,7.75
010153,4,3.75,5.5,4.25
010154,3.5,4.5,6.5,3.25
010155,7,5.5,8.75,6
010156,5,5.25,5.75,5.75
010157,5,7.75,3.75,8
010158,6.25,6.25,8,6.5
010159,4.25,7.75,7,8
010160,5.5,6.5,7.25,7.5
010161,5,8.25,9,4.75
010162,3.75,4.5,9.25,4.25
010163,3.75,5.75,9.25,7.25
010164,4.25,7.25,7.75,5.25
010165,5.5,6.5,5.25,3.25
010166,5.75,8,9.25,6
010167,4.5,3.5,6,1.5
010168,6.25,3.75,6.5,5
010169,6.5,6.25,8.75,3.75
010170,4.75,5.75,7,4.5
010172,6,7.25,4.5,6.75
010173,5.75,8.5,10,7.25
010174,6,6.5,8.25,3.5
010175,5,5.75,5,5.25
010176,7.5,7.25,9.25,8.25
010177,5.5,4.75,5,2.25
010178,5.75,7.75,8.75,7
010179,5.75,6,5.25,3.75
010180,6.25,8,9,9
010181,3.92,5,4.75,2.75
010182,6.5,8,8.5,7.5
010183,6.75,7.25,8.5,7
010184,5.75,5.25,7.75,4.5
010185,4.5,5.5,6.25,6
010186,5.75,5,7,6.5
010187,6.25,7.5,7.5,4
010188,4,4.5,5,5.5
010189,2.75,4.75,4.25,1.5
010190,5,5.5,8.25,6.75
010191,5.5,2,5.75,3
010192,5.75,5,7,4
010193,5.25,8.5,8,5.25
010194,5.25,3.25,6,3.75
010195,5,7.5,8,8
010196,7,4.75,8.75,4.5
010197,5.25,5.25,6.25,4.25
010198,5.25,7.5,8.25,6.5
010199,4.5,4.25,6.5,4.5
010200,7,7.5,9,6.75
010201,5.75,5,8.5,4.5
010202,5.25,6,6.25,6
010203,3,3,4,0.75
010204,5.75,6.25,8,6.5
010205,6,3.25,5,1.5
010206,6.5,5.25,9.5,3.75
010207,6,4.75,8.75,7.25
010208,4.5,5.25,6.75,7.75
010209,6.25,5,5.25,1.5
010210,6,5.75,8.5,8.5
010211,6,8.25,8.25,8
010212,6.25,8.25,9.5,7.5
010213,7.5,7.25,9.75,8.75
010214,3.5,6.75,9,8.5
010215,5,5.25,6.75,2.5
010216,5.25,6.25,8.75,8.5
010217,5,6.5,8.25,8.25
010218,6.5,8.25,9,8.5
010219,5.75,6.25,6.5,7.25
010220,6.5,9.5,8.5,9
010221,6.25,7.25,8.25,7.25
010222,2.25,4.5,4.75,0.75
010223,5.5,7.75,9.5,7.25
010224,5.5,3.5,7,5
010225,6.25,7.75,8.75,7.75
010226,4.75,7.5,8.5,4.5
010227,4.5,4.25,5.25,6.25
010228,4.5,8,8.75,8
010229,5.25,8,9,9.25
010230,6.5,8.5,9,9
010231,6.25,6,8.25,3.5
010232,4.25,3.5,7,1.75
010233,5.25,4.75,6.5,5.5
010234,5.75,4.25,7.25,3
010235,6.25,7,7.25,5.75
010236,3.75,5,4.25,1.5
010237,4.5,4.75,5,5.25
010238,5.75,6,7.25,4.5
010239,4.75,4.75,6,4.75
010240,5.5,6.25,7.75,7.5
010241,4.75,3.25,6.25,3.25
010242,3.5,4.5,8.75,4.25
010243,5,7.25,7.75,8
010244,7.25,5,9,4.5
010245,4.25,3,5.75,7.75
010246,7,8.25,9,8.75
010247,6.25,8,7.75,8
010248,5.75,8,8.5,6.5
010249,4.5,6.75,8.75,6.5
010250,6.25,7.25,7.75,7.5
010251,6.75,4.5,8.75,6.5
010252,6.25,5.25,6.75,7
010253,5,6.5,8.5,5.5
010254,5.5,5.75,7.75,8.25
010255,4.75,5.75,7.75,4
010256,6.5,6.75,7.5,5.5
010257,6.25,5,5,3.25
010258,5.25,7.5,6.5,7.5
010259,6.5,8,9,6.5
010260,5,6.25,7.75,7.75
010261,5.5,8.75,7.25,8.25
010262,5.25,6.25,7,5.75
010263,4.75,5.75,7.25,8
010264,5.25,4.25,9.5,3.25
010265,3.5,3.75,5.5,5.75
010266,3.17,9,8.25,7
010267,6.25,8.5,7.25,7.25
010268,6.5,5.25,8.25,5.75
010270,6.75,5,8.75,6
010271,6.75,5,6,4.5
010272,5,7.25,7.75,6.5
010273,7,7.25,9.75,8.5
010274,6,6,3.75,3.75
010275,4.5,4.5,5.25,1.25
010276,6,3.75,7.75,3.75
010277,5.25,6.75,7.5,6.5
010278,5.75,7.5,9.25,7.5
010279,5.75,3.25,6,1.5
010280,7,6.25,8,5.5
010281,6,4.75,7,6
010282,6.5,6.75,5,5.25
010283,6.75,5.5,6.75,7.25
010284,5.75,6.5,8.75,3.75
010285,5.75,6.75,7.5,5.25
010286,5.25,4.25,6,5
010287,6.25,4.5,6.75,3
010288,3.75,2.25,3,2.75
010289,6.25,4.25,6,7.25
010290,5.5,2.75,6.5,3.75
010291,4.75,1,4.5,1.5
010292,4,1.25,4.75,2.25
010293,6.5,6,6.5,7.5
010294,6.5,5.5,5,8
010295,4.5,3.75,3.75,5.25
010296,7,4.5,6.75,8
010297,3.5,2,4.5,2.25
010298,5.75,5,9.75,5.25
010299,5.75,7.25,10,8.5
010300,6.25,5.75,7.75,9
010301,6.25,6,9,8.75
010302,5.25,5.75,8,5.25
010303,2.75,5,7.25,4
010304,6.5,6,9.25,9.25
010305,4,4,4.5,7.5
010306,7.25,5.75,5,7
010307,6,4.75,7.5,7.5
010308,3.25,3.25,5,2.75
010309,4.75,5.75,8.25,5
010310,4,3.25,4.25,4.5
010311,5.75,5.5,6.75,9.25
010312,7.25,6.75,7.25,7.5
010313,6.5,7.25,4,8.5
010314,6.25,6.5,8.75,8.75
010315,6.5,6,6.75,9.25
010316,5.25,5,4.75,5.75
010317,5.5,3,5.75,3.75
010318,5.5,3.75,6,4.5
010319,5,5.75,4.25,8.25
010320,6,6,7,9
010321,6.08,6.75,8.5,8.5
010322,4.75,6.25,8,7.75
010323,4.75,1.5,5.5,0.75
010324,5.25,7,8.75,9.75
010325,4.5,4.25,7.75,7.5
010326,5.5,6,9.25,9.5
010327,5.25,4,8,4.75
010328,4,6,3.5,1.75
010329,5.5,4.75,9.5,7.25
010330,5.5,6.75,8,9.75
010331,4.5,7.75,7,7.75
010332,3.75,0.5,4,2.25
010333,7.25,6.25,8.75,9.75
010334,4.25,3,3,1.25
010335,5.25,4.5,6.75,6.25
010336,5.25,5.5,4.25,5.75
010337,6,4.5,9.25,7
010338,7,5.5,7,7.5
010339,6.25,8.25,8.25,8.25
010340,5.5,3.5,8,7.5
010341,7.25,7.25,9,9.25
010342,7.75,8,9.75,9
010343,6,7.25,6.25,7.5
010344,4.75,6.25,3.75,4.75
010345,5,3.5,4.75,1.75
010346,6.25,4.75,7.25,7
010347,6.75,8.75,8.25,10
010348,7,6,7.5,8
010349,7,3.25,7.5,6.5
010350,4.25,5.75,5,4.5
010351,5.25,6.75,8,6.5
010352,6.5,6.75,7.25,9.75
010353,5,3.25,4.75,5.5
010354,5,2.75,7,7.5
010355,4.75,4,8,6.25
010356,4.5,3.75,4,1.75
010357,4,3,6.75,6.25
010358,3.75,7,7.75,9.15
010359,4.25,3.5,8.75,2.2
010360,6,7,7.75,8.25
010361,5,4.5,4.25,2.3
010362,6.75,4,8,7.25
010363,5.25,8.75,9.25,9.55
010364,5.42,5,8.25,9.25
010365,5.75,5.75,8,8.1
010366,6.5,5.5,8.75,7
010367,5.75,6,6.5,1.7
010368,6.25,5.5,6,8.25
010369,4.5,2.5,5.75,2.75
010370,5.25,5.5,9,8.75
010371,5.5,3.25,8.25,3.8
010372,7.5,7.25,9.5,8
010373,4,5.25,9.25,4.95
010374,3,4.75,7,2.9
010375,5.08,4.5,8,4.4
010377,5,5.75,4.5,1.9
010378,4,5.25,6.5,7.6
010379,5.08,5.5,7.5,7
010380,4.75,5,4.25,0.6
010381,4,4,6.25,8.5
010382,6.25,3.5,7.25,4.1
010383,3.75,6.25,7.5,0.4
010384,5.25,4.75,8.75,2.5
010385,4.75,5.75,6.25,3.4
010386,4.5,3.75,6,7
010387,6.75,8,9,8.75
010388,5.25,6.5,5,3
010389,5.25,9.25,9.25,5
010390,5.5,7.25,9.5,9.75
010391,5.5,8,9.25,9.45
010392,4.25,3.75,3.75,6.2
010393,5.75,5.75,7.5,4.65
010394,5.25,3.25,3.25,0.5
010395,5,7.75,7.5,6.15
010396,4.25,7.5,6.75,4.75
010397,4.5,6.75,9.5,5.75
010398,5.75,7,7.75,7.5
010399,5.75,5.75,8.5,7.25
010400,5,4.75,5.5,6.25
010401,6.25,6.75,7.25,6.25
010402,5.75,3.25,2.75,4.75
010403,4.75,3,5.5,6
010404,7.25,8.75,9.5,7.5
010405,4.5,5.25,8,5.25
010406,5.5,3,3.75,6.25
010407,6.75,4.75,7.25,6.75
010408,6,6.25,7.75,6.75
010409,6.75,4.75,9.25,6.5
010410,5.25,4,7.5,6.25
010411,6.25,3.75,6.25,7.5
010412,5,2.5,6.75,6.5
010413,6.25,4.5,5.25,6
010414,6.75,4.25,8.25,6.75
010415,6.75,5.75,7,5.75
010416,6.5,6,7.25,6.5
010417,4.75,4.75,7.25,5.75
010418,7.25,8,9,7
010419,6.25,4,6.25,5
010420,3.5,3.25,6.5,4.25
010421,7,6.25,7,6
010422,5.5,5.25,6.25,5.25
010423,5.75,5.75,7.5,5.25
010424,6.25,3,5,7.25
010425,7.5,6.75,6.5,7.75
010426,5.25,4.25,6.75,5
010427,5.25,3.25,5.75,5
010428,7,7,8.25,8
010429,5.5,4.75,6.5,5
010430,6,6.5,7.25,5.5
010431,5.5,3.75,7.25,6.5
010432,6,6.25,7,7
010433,6.25,7,6.25,7.5
010434,5,3.25,6,5.25
010435,4.25,2.75,3.5,4.25
010436,6.75,6.5,9.25,6.5
010437,6.75,6,7.5,5.75
010438,6.5,4.5,7.5,6.5
010439,6,5.25,6.25,6.5
010440,4.25,5,6.75,6.25
010441,6.5,7.25,9.25,7.25
010442,5.25,3.75,3.75,6
010443,6.25,5,7,5.5
010444,6.25,4.25,6.5,6.5
010445,5.25,3,6,7
010446,5.25,6,5.75,6.5
010447,6,5.75,9.25,6.5
010448,4.5,5.25,4.75,6.25
010449,5.5,6.5,5.25,7.5
010450,5.75,4.75,7.25,7.75
010451,6.25,4.75,8,7.25
010452,6.5,6.25,7,5.75
010453,6.25,2.75,9.25,7.25
010454,5.5,5.75,6.25,5
010455,5.5,3.75,7.5,6.25
010456,6.5,6,8.5,5
010457,6.5,5.75,7.25,8
010458,5,5.25,6.75,5.75
010459,6.25,5,6.75,6.25
010460,6.5,7,7.75,5.75
010461,6,4.75,6.75,4.5
010462,5.5,7.75,7.25,6.25
010463,5.75,4,7,6.25
010464,9.25,5.25,7.25,6.75
010465,8,4.25,7,6.25
010466,6,3,6,6.25
010467,8,5,8,7
010468,5.5,4.5,7,5.5
010469,7,5.75,8.25,7.75
010470,5.75,5.75,6.5,5
010471,7.75,5.5,8.75,6.75
010472,4.5,3,4,6
010473,5.75,2.75,6.75,5
010474,5.75,4,7.25,5.25
010475,7,5.75,7.5,7.25
010476,6,4,6,7.5
010477,6.25,6.25,7,7
010478,6,4.5,6,6.25
010479,6.25,3.25,3.5,6.75
010480,5.25,6,6,4.5
010481,5,1.5,4,2.5
010482,6.25,5,7,7.25
010483,4.25,2.5,5.75,2
010484,4.25,2.25,4.5,4.75
010485,6.5,4.75,7.75,5.25
010486,6.75,3.75,8.5,5.75
010487,4.5,5,5,4.75
010488,4.92,2.75,4.75,4.75
010489,5.5,5.5,5.25,4.5
010490,5.5,3,5.75,5.75
010491,6.25,6.25,4.75,2.25
010492,6.25,4,6.75,7.5
010493,7,3.5,5,4
010494,5.75,4.75,6,4.5
010495,5.25,3.75,6.25,4.5
010496,6,3.25,7.75,5.25
010497,5.25,5.5,5.25,6.75
010498,4.75,4.5,6.25,5.25
010499,6,4.25,4.75,6.25
010500,4.25,2.75,7.75,3.25
010501,5.25,6,7.25,5.25
010502,6,4.5,8.75,5.5
010503,5.75,3.75,6,4
010504,5,3.25,4.25,2
010505,5.5,3.5,4.75,4.5
010506,4.25,4,4.75,1.25
010507,5.5,4.75,7.25,2
010508,6.25,6,8,5.5
010509,6.25,5.25,7,6.5
010510,6.5,4.75,6.25,5.75
010511,6,4,8,4.25
010512,4.5,4.25,7,6.5
010513,4.75,3.5,8.5,2.75
010514,4,4.5,7,2.75
010515,6.5,4,4.25,3
010516,4.5,2.75,3.75,4.25
010517,6.75,5.5,8.75,4
010518,5.5,5,6,7.5
010519,8,7.5,9.25,10
010520,6.5,6,8.5,8
010521,5.75,3.5,5.5,4.5
010522,5.75,5,7.5,6.75
010523,5.75,3,5.5,4.25
010524,5.75,3.25,9,4.75
010525,4.25,3.5,6.75,5.5
010526,5,2.75,4.25,2.25
010527,5.75,8.5,9.25,9.25
010528,3.75,3.25,6.75,2
010529,5.5,3,7.25,3.75
010530,7.25,6,7.25,7
010531,6.25,5,6.25,4.25
010532,6.75,4.5,6,5
010533,5.25,3.25,6,5.25
010534,4.75,4.5,5.25,5.5
010535,5.25,6,7,8.75
010536,6.25,4,4.5,7.25
010537,4.25,2.75,2.75,2
010538,6.5,4.75,8,5.25
010539,6.5,5.25,6.25,5.75
010540,5.75,4.25,6.25,3.5
010541,6.5,4,5.75,3.5
010542,4.75,2.25,4,2.25
010543,6,5,8.25,3.5
010544,6.5,6,9.5,6.4
010545,6.5,5.5,7,1.8
010546,5.75,1.75,7.25,1.8
010547,4.75,4,8.75,6.4
010548,6.25,7.5,9.5,7.1
010549,5.25,5.5,7.25,3
010550,5.25,3.75,9.25,2.7
010551,4.75,2.75,6.25,1.9
010552,4.25,4,8.75,2.5
010554,6,4.5,9.75,7.7
010555,4.75,3.75,9.75,6
010556,6.5,5.25,8.5,1.8
010557,5.5,7,9.75,6.3
010558,5.75,3.75,9.25,3.43
010559,5.75,2.25,7.25,3
010560,4.75,4.75,9.5,7.4
010561,6,7.25,9.5,6.9
010562,5.25,6.5,9.5,7
010563,6,7.25,9.5,6.2
010564,5.5,4.75,9.25,5.2
010565,4,6,9.5,6.7
010567,6,6.25,9.5,3
010568,4.5,3,8.75,4
010569,7.75,7.5,9.5,6.1
010570,5.42,5.5,7.5,2.8
010571,4,5,7.75,1.7
010572,4.17,3.25,6.5,3.2
010573,5,4.5,8.25,4.1
010574,5,7.5,9.5,7.4
010575,3.75,3.75,9.5,3.9
010576,6.5,4.75,9,4.9
010577,6.25,5,8.5,2.7
010578,6.75,8,9.75,6.5
010579,5.75,4,8.5,3.4
010580,5,5,9,3.7
010582,7,4.75,9.75,6.2
010583,7,6.75,9.25,4.1
010584,6.25,7,9.25,6
010585,6.5,5.5,8,5.4
010586,6.25,5,9.25,5.4
010587,6.5,6.5,9.25,7.6
010588,6,6.5,9.75,4.6
010589,6.25,6.5,9,4
010590,6.25,5.75,9.75,7.1
010591,6.75,7,9.75,8.4
010592,6,7,9.5,7.6
010593,5.25,5.25,9.25,2.9
010594,5.25,4.5,9.25,3.1
010595,4,2.25,4.5,2.1
010596,6,7,9.5,7.6
010597,6.5,3.75,6,2.7
010598,6,5.75,9.5,5.8
010599,4.75,7.5,8.75,9
010600,5.5,5,9,3.9
010601,6.5,4.75,9.5,6.3
010602,6.5,6,9.75,6.5
010603,7,5.75,8.5,3.7
010604,6.75,7,9.25,6.5
010605,5.5,3.25,9.5,6.2
010606,5.5,6,7.75,4.3
010607,6,4,9.5,8
010609,5.5,7,8.25,3.5
010610,6,7.5,10,5.9
010611,6.5,6,10,7.6
010612,8,6,9.25,6.7
010613,4,5.75,7.25,3.2
010614,6.5,3.5,9.25,5.4
010615,6,5.5,8.75,3.2
010616,6.5,6,9.25,5.2
010617,5,4.5,8.75,2.9
010619,7,5.5,9.5,5.4
010620,4.5,4,6,1
010621,4.75,6,9.5,5.1
010622,5.25,2.25,8.75,4
010623,3.5,2.75,8.25,3
010624,5,6,9.75,6.9
010625,7.25,7.25,9.5,4.1
010626,6,4,8,3.6
010627,6.75,4.25,7.25,2.7
010628,8,7.75,9.75,3.5
010629,6.75,5.75,8,2.1
010630,5.5,5,8.25,1.6
010631,7.5,6,8.5,3.57
010632,6.5,7.75,8.5,4.1
010633,4.5,2.75,7,2.1
010634,6.75,5.5,7,3.4
010635,5.75,5.5,9.75,7.2
010636,5,5.75,8.25,4.5
010637,6.25,3.75,6.75,3.3
010638,6,6.75,8.75,3.5
010639,7,5.25,7.75,3
010640,5.75,5.5,8.75,4.3
010641,5.5,7,9.5,2.6
010642,7,6.5,9.5,6.5
010643,5,6,9.75,3
010644,5,5.25,8.75,4.3
010645,6.75,7.75,9.75,7.6
010646,5.5,5.25,9.25,4
010647,3,0.75,6.75,2
010648,3.25,1.75,9.25,6.9
010649,2.75,3.75,9.75,3.8
010650,6,8.25,9.5,8.1
010651,6.5,5.25,10,7
010652,7.25,4.75,8.25,2.8
010653,6.25,5,9.5,5.2
010654,6.75,6.25,9.25,4.6
010655,4.75,5.5,9,5.6
010656,5.75,3.5,6.25,2
010657,7.75,4.75,9.75,5.2
010658,6,6.75,9.25,3.1
010659,6,3.75,5.5,2.7
010660,5.75,8.75,9.75,5
010661,5.75,2.5,8.25,3
010662,6.5,6.25,9.75,7.83
010663,5.75,4,8.75,3.4
010664,5,4,6.25,2.3
010665,5,5.5,6,1.8
010666,5,3.25,7,2.3
010667,5.5,4.25,7.5,2.3
010668,3.25,3.25,7.25,4.5
010669,7.75,5.5,9.5,4.7
010670,5.75,5.75,8.25,2.2
010671,7.5,7.5,9.5,4.3
010672,7.5,7,10,8.4
010673,5.75,2.5,6.75,2.7
010674,7,6.75,9.75,6.8
010675,5.75,4.5,9.5,3.2
010676,5.75,4,9.25,5.1
010677,5.5,5.5,7.75,3.6
010678,6.25,3.5,8.5,4.7
010679,7.5,7.25,10,7.4
010680,6.75,8.5,10,6.4
010681,6.75,6,9.75,5.8
010682,5.25,4,8.25,3.8
